1950;0,12
1951;0,13
1952;0,14
1953;0,14
1954;0,14
1955;0,14
1956;0,14
1957;0,14
1958;0,15
1959;0,15
1960;0,15
1961;0,15
1962;0,15
1963;0,15
1964;0,15
1965;0,15
1966;0,15
1967;0,16
1968;0,17
1969;0,18
1970;0,19
1971;0,2
1972;0,21
1973;0,22
1974;0,24
1975;0,27
1976;0,29
1977;0,31
1978;0,33
1979;0,36
1980;0,41
1981;0,46
1982;0,5
1983;0,52
1984;0,54
1985;0,56
1986;0,58
1987;0,59
1988;0,61
1989;0,64
1990;0,67
1991;0,71
1992;0,73
1993;0,75
1994;0,77
1995;0,79
1996;0,81
1997;0,83
1998;0,84
1999;0,85
2000;0,87
2001;0,9
2002;0,91
2003;0,93
2004;0,95
2005;0,98
2006;1,02
2007;1,04
2008;1,08
2009;1,08
2010;1,11
2011;1,13
2012;1,16
2013;1,18
2014;1,2
2015;1,2
2016;1,22
2017;1,25
2018;1,28
2019;1,3
